,index,RA,DEC,z,xVal,yVal,zVal
340,25942,117.78016799999999,31.023384000000004,0.044762,-53.63529202819272,101.8137891665407,69.20937494734139
341,9113,225.427106,33.850266999999995,0.044075,-77.0680752644895,-78.22571969723654,73.65255717133226
342,3176,117.867287,21.66603,0.027311000000000002,-35.591885759288225,67.31428322922434,30.24932115657382
343,656,157.414626,6.788232000000001,0.049845,-137.0990289086045,57.02776040807003,17.675040032695343
344,21862,241.872209,0.021031,0.058246000000000006,-82.37842414415316,-154.10113486171392,0.06413936291134226
345,3629,209.292429,13.360223000000001,0.046811,-119.16174870306473,-66.8497516498715,32.450205536762724
346,25104,136.800653,7.742684,0.051261,-111.08214050490815,104.31069082626462,20.718323513143734
347,22696,152.57712,49.683502000000004,0.057205,-98.55950959058771,51.138340491602285,130.8533584820344
348,9563,188.48988300000002,46.724682,0.033981,-69.11663839626908,-10.317074289972346,74.221449217154
349,15566,197.70596,61.966694,0.051914,-69.72904071664651,-22.26136786921597,137.46949823625494
350,6822,253.77463999999998,24.348136,0.05506799999999999,-42.055003540020955,-144.51548916535242,68.11029059215441
351,11286,12.539383,-9.108782000000001,0.057697000000000005,166.83157150103227,37.10599722049208,-27.401934270572873
352,3702,216.13078,18.031956,0.041932,-96.61177826111924,-70.53005106679994,38.939822980323335
353,21809,216.62104100000002,-1.143281,0.055140999999999996,-132.74181532448682,-98.65842693710279,-3.3006344323752232
354,16226,160.555142,10.062638,0.0314,-87.4606523257091,30.876745353216474,16.45906714106415
355,1059,169.34241200000002,20.228412,0.050163,-138.77126375631252,26.114727351675167,52.03360925232472
356,21760,215.28252700000002,-1.195187,0.058697000000000006,-143.7142358047338,-101.68956635573973,-3.6729827719428747
357,5836,156.90793,39.126540000000006,0.04677,-100.12486474498297,42.69049598307691,88.54055066757695
358,2937,120.374306,10.909906,0.026418,-39.350234203288146,67.13981551769595,15.000025213183019
359,19924,142.259467,65.242475,0.030405,-30.207356992335274,23.381052347035595,82.83126341957363
360,27444,120.58366699999999,43.893341,0.058183000000000006,-63.99918400781457,108.28715045954475,121.01797755988905
361,23271,238.77249700000002,28.526534,0.041319,-56.46206286346396,-93.12902977111713,59.19761076337986
362,9748,14.800973999999998,-10.340545,0.037201,106.14742413232547,28.04728962108328,-20.032561093961057
363,6290,153.68573999999998,44.772937,0.04675,-89.24676023835421,44.136137332808836,98.7779310792505
364,23791,151.32674,-0.781051,0.035505,-93.444402666168,51.102648200111894,-1.4519580912188488
365,19252,179.34310200000002,54.522617000000004,0.037431,-65.16850156493265,0.7471917567157987,91.44520740454398
366,7180,160.49546,60.716708999999994,0.048228,-66.70793469536072,23.628467416698644,126.19511413766185
367,12941,132.08981799999998,32.523206,0.055482000000000004,-94.0711090430281,104.14775983672683,89.48821978565772
368,19433,179.539681,62.998070999999996,0.02864,-39.008182178655346,0.3134016835360252,76.55396725514356
369,8571,206.155382,22.626556,0.02226,-55.328250990936866,-27.171377194012766,25.691813942666183
370,8741,198.800832,31.591701,0.02027,-49.0344186568085,-16.693472284115323,31.856080582650225
371,908,179.426724,18.284032,0.051448,-146.54429088313657,1.4663057066690153,48.422010420192684
372,12828,137.391446,35.156613,0.05530499999999999,-99.83710926121385,91.83244045050526,95.5360754912449
373,27460,115.65126299999999,38.854424,0.052965,-53.565365884774565,111.54332155085899,99.68179382430826
374,18393,229.655087,20.681017999999998,0.051674,-93.89224885207217,-110.53816681058437,54.748331186036836
375,26345,329.176702,-8.93717,0.050047,127.36847827781584,-75.99706446388976,-23.32459678247289
376,23113,243.87543,29.876688,0.050577,-57.93164186270127,-118.124950931962,75.58251913910571
377,5927,153.338363,39.312334,0.052684,-109.28307797942277,54.87201212162155,100.13344025383336
378,9503,210.04651099999998,45.27706,0.037236,-68.04338484755802,-39.358548553497975,79.37052159491617
379,17272,152.19733,17.688676,0.048617,-122.9142752070863,64.81266591944062,44.31606354056769
380,18638,222.66911000000002,20.807883,0.04895,-100.93335204656437,-93.03791408541143,52.166344392528636
381,18624,220.88839199999998,20.561495,0.050233,-106.66875995422038,-92.3615584525657,52.92737260664088
382,15378,194.443681,61.180427,0.049862000000000004,-69.82927155819598,-17.98586652014093,131.05858550728908
383,2990,143.235675,30.028074,0.031393,-65.32069314776598,48.80271781491418,47.12945810820718
384,2453,172.857986,16.907642000000003,0.058242999999999996,-165.87918954304695,20.784880008502473,50.81640168856956
385,15638,207.428521,65.36936800000001,0.057927,-64.28445768652826,-33.362506177944454,157.9692617013689
386,17311,153.191954,24.508589,0.047589,-115.94185297822003,58.58688173751715,59.2239842061558
387,24606,207.88356000000002,-1.7377779999999998,0.053447,-141.66020509927228,-74.95318371808845,-4.862388585314324
388,27386,177.169814,-0.781421,0.023584,-70.65912914073141,3.493124378534349,-0.9649119905613589
389,25001,56.562893,-0.52389,0.040894,67.59756986533824,102.37276674630616,-1.1217401691604179
390,3303,212.76252799999997,14.985663,0.049821,-121.412002926769,-78.13236061758808,38.6477442890708
391,18858,232.19524900000002,32.477984,0.047894,-74.29829820863553,-95.76839032959786,77.1537129435677
392,5832,156.143545,38.309307000000004,0.045834,-98.67614461801402,43.637557589677115,85.23838369497862
393,7256,182.09169,66.607015,0.046244,-55.04483117160804,-2.0104081093682895,127.32867958367805
394,27055,197.727477,57.407784,0.059752,-91.97240639066608,-29.400745426573522,151.0277662122829
395,6514,246.961636,16.492974,0.058766,-66.15498328268929,-155.56169066558255,50.05060826935776
396,13398,251.253879,40.004881,0.048510000000000005,-35.82515018373409,-105.56096787983464,93.55437763453624
397,4331,211.76193700000002,21.72886,0.047923,-113.55301449911904,-70.30145874793622,53.22539954828979
398,21780,222.132458,-2.896722,0.058919000000000006,-130.91478072010764,-118.42536328773927,-8.93255664259152
399,2082,216.564625,17.889189000000002,0.057879999999999994,-132.72231295268557,-98.44120611656646,53.33822440618982
400,11716,310.09747799999997,-6.061026,0.053131,102.08954207133154,-121.24606014494397,-16.829936066261904
401,12772,143.740374,34.584063,0.05759500000000001,-114.70495250255466,84.13478622792022,98.07531719433213
402,9086,212.812418,36.529806,0.03528,-71.47805770918585,-46.086393763912476,63.00029504660996
403,12359,211.11141800000001,46.301520000000004,0.054456,-96.63091711722207,-58.31776335354396,118.11269092914868
404,3359,207.51831299999998,18.33001,0.047852,-120.85470735835771,-62.962082328235134,45.14688288484879
405,7496,142.227529,61.25881999999999,0.041108,-46.87429336352771,36.323369752333896,108.13058035313219
406,10743,148.458066,22.837051000000002,0.04763,-112.23310431822922,68.8895736921739,55.4572721255203
407,14990,217.342881,60.165493000000005,0.050065,-59.40505512893705,-45.3248258317881,130.28905408147693
408,26370,333.728236,-8.390359,0.059364,157.98668693444378,-77.98503221840846,-25.986572790036206
409,22309,180.050547,47.566567,0.05791,-117.22134856633545,-0.10341405760636711,128.22346760956975
410,1756,224.77889199999998,7.155427,0.053048000000000005,-112.08544573529859,-111.22367757082482,19.823196965692386
