,RA,DEC,z,xVal,yVal,zVal
25825,230.38111099999998,46.786848,0.05387,-70.56333859433386,-85.23919234663522,117.78322221146237
8986,223.564969,34.634493,0.039856,-71.28540601073975,-67.80111422554432,67.95517952046542
15214,202.126679,59.330202,0.049689,-70.43761677608471,-28.63996364782522,128.21569761209693
6558,252.480069,20.049984,0.059189,-50.21467414499076,-159.06763625857673,60.877032488628466
5526,169.554098,43.800641999999996,0.048433,-103.13185457260623,19.013656222833532,100.5688860953262
7710,180.28960700000002,62.58074499999999,0.05114,-70.64871918732474,-0.3571037524962039,136.1849013440935
4191,202.460645,26.710778,0.057129,-141.4840900744451,-58.49080578692945,77.03623603994421
6352,150.376273,39.83793,0.047601,-95.31998967220802,54.201514868133096,91.48219588471684
9486,199.109648,50.081097,0.029205000000000002,-53.1245580730031,-18.40604647685789,67.19662943660099
3469,204.611105,14.905347,0.046702999999999995,-123.0947542071469,-56.386040236866364,36.03925407231079
16369,162.990202,0.976067,0.04211,-120.78613298637137,36.950613925906744,2.1520010913559533
17725,239.74901699999998,9.963683999999999,0.049731,-74.02814374428252,-126.9331502365296,25.813960444039765
20021,195.014795,4.678022,0.05268,-152.13585288513167,-40.80678709489223,12.889142481395009
5391,176.31933899999999,40.430394,0.044430000000000004,-101.25032371975846,6.513247615878986,86.44173559189088
8893,219.381696,27.534360999999997,0.038794,-79.76690963263866,-65.47861316924273,53.80112702435828
24530,22.12494,-10.227399,0.050115,137.06135699731735,55.72435586382516,-26.694561367733773
1766,222.071808,12.141619,0.059005999999999996,-128.46210125648753,-115.95965169022958,37.23197610453393
4926,319.797936,9.52769,0.033893,76.58839329450615,-64.72693979262347,16.830339231523105
2173,220.621337,20.785906,0.050864,-108.28324924463055,-92.87994013664196,54.15139072303701
16780,151.482913,13.294993,0.036433,-93.46434964013618,50.783097635021015,25.134910820178067
4677,211.437705,39.871773,0.044273,-86.97264342295537,-53.16691963782022,85.1464897294599
3668,217.97705499999998,18.855028,0.044801,-100.25910285714401,-78.26635780888832,43.435652851219835
1408,160.193373,22.703863000000002,0.04766,-124.09773453830351,44.69414821471118,55.18573908014804
26955,191.520717,47.887613,0.05876,-115.82942739248108,-23.609381740662837,130.769947785237
13060,138.124562,43.119665000000005,0.055584,-90.6301377173831,81.2476687115943,113.97905057623174
28107,217.94284900000002,3.9456870000000004,0.028962,-68.35801335131066,-53.29741268869025,5.978696124865008
9419,190.942433,41.632628000000004,0.033685,-74.15725093678896,-14.33740094668147,67.1360863663664
19428,163.495757,55.029723,0.031979,-52.720914758990155,15.62089328804809,78.61552524062094
8024,139.444229,57.250961,0.054145000000000006,-66.76197365935435,57.13259480723932,136.61564591473223
25397,130.88797,26.436646999999997,0.052326,-92.00961001395224,106.26387477276117,69.88786065805238
7606,133.53203200000002,57.719051,0.045484,-50.19344872981061,52.833671419633966,115.36190520674502
14336,332.088533,-9.367637,0.04018,105.09732413635187,-55.67310208897951,-19.620136675585577
710,165.212534,14.366610000000001,0.050551,-142.04470964000996,37.496590241424336,37.62895949334753
4402,212.36456800000002,28.087667,0.049426,-110.49411491094088,-70.02588567166886,69.81254321356695
20120,193.90421899999998,4.334487,0.042046,-122.09179804148292,-30.2242064125884,9.533375148760438
7359,145.642158,51.121489000000004,0.042429,-65.95512167396977,45.08916843734857,99.0902073042551
2434,180.140648,20.116303,0.058210000000000005,-163.9764523068069,-0.40252539689973854,60.059953065069465
6011,147.01044,34.772774,0.048954000000000004,-101.18535440603803,65.68432781471559,83.75882148916297
21200,193.890788,30.454088,0.043069,-108.12370353861182,-26.739463403471486,65.48827894355443
26821,183.001273,45.753565,0.052797000000000004,-110.36508138962304,-5.786447659696935,113.46265779693104
5696,161.09764099999998,36.897975,0.05252999999999999,-119.2293409073097,40.826811965490414,94.61576925408895
22331,172.674074,47.937546000000005,0.055788,-111.20859660808921,14.29729977395349,124.25354624972681
7602,136.70398500000002,59.004293000000004,0.047725,-53.66320712922289,50.56260188418028,122.73045309257196
24037,254.032737,21.176668,0.029951,-23.048341230241736,-80.55279661150817,32.458936113177465
13277,238.190898,33.116433,0.050377,-66.71999234620803,-107.57017138971536,82.5692437261551
2831,142.690544,35.787733,0.024922,-48.23889101861578,36.76077024815893,43.721961530290294
9138,231.355675,35.041031,0.043328,-66.45961186092178,-83.1205519326528,74.63199108764817
6830,254.595021,24.472992,0.05391900000000001,-39.10862355911593,-141.9347850863745,67.01014396937272
6807,255.884978,20.141832,0.047514,-32.635703118714645,-129.78415552697948,49.08365940000733
27181,352.758062,0.32876500000000003,0.020361,60.59472485359581,-7.699958615809067,0.3504942679216915
11166,132.27543,26.765428999999997,0.051757000000000004,-93.25904844272166,102.57869085018864,69.92457013110287
11497,194.79973600000002,3.541004,0.059352999999999996,-171.82315222943996,-45.39678807820237,10.997430205347149
3645,210.422966,18.472903,0.047823000000000004,-117.34028321460178,-68.9063735468512,45.45903189399061
11523,195.892878,11.870414,0.059802,-168.85838220420345,-48.07788362903103,36.903613659538784
11219,130.704728,32.525133000000004,0.049912,-82.33581604191417,95.7082409130655,80.50848224900705
6576,247.17936400000002,24.058846,0.058164999999999994,-61.798135881151524,-146.8638651310571,71.13719523133722
5479,169.410987,41.650164000000004,0.045788,-100.89274174701144,18.86153939403703,91.28945990889665
14202,134.662896,56.445411,0.059234,-69.04321737144754,69.86047706702051,148.08966433538617
28088,231.29509700000003,4.889537000000001,0.027607,-51.600287385179165,-64.39639299079425,7.0592458904690725
20398,188.604413,14.749146,0.053441999999999996,-153.29818261172574,-23.196247799939098,40.817001016069256
8086,143.95306599999998,60.513028000000006,0.058855,-70.26965267378637,51.14188976369417,153.69411911164192
20846,190.770017,6.173592,0.028916000000000004,-84.72572750400103,-16.116350940936105,9.32897825414756
21296,185.124151,27.150745,0.044625,-118.64710412112431,-10.639383662014382,61.091601910275266
26413,188.450494,37.866984,0.057072000000000005,-133.69695246892337,-19.86305856129129,105.09758541999508
24061,248.984823,27.179959000000004,0.02452,-23.46678579503345,-61.084698959892556,33.601236843743095
10448,145.91958,25.195498999999998,0.055605999999999996,-125.02215133300986,84.58406512668243,71.01579209380904
3880,206.400196,20.505568,0.035016000000000005,-88.13069011139014,-43.74883027391321,36.798146884788345
7574,147.62190800000002,64.786796,0.043899,-47.379397936423274,30.042473903842225,119.15008276085673
16051,176.084325,12.652239999999999,0.038443,-112.26583641387873,7.684373955302144,25.260851375345464
22319,173.573702,44.384142,0.056027,-119.36705928475403,13.444641046171379,117.56687180430384
15502,184.923133,66.809874,0.042193,-49.66083163047464,-4.277633579417775,116.3518237662388
24694,198.017589,1.887487,0.046644,-132.99776030202318,-43.258735200341256,4.608926937187813
11737,310.25352799999996,-4.6792110000000005,0.052964,102.32920001555121,-120.86104109865671,-12.961914701390667
27706,236.39887799999997,57.556767,0.050519,-44.99473450343082,-67.71964259244113,127.90249459302117
24246,204.95603300000002,53.850443000000006,0.024872,-39.90594813138086,-18.571181302462172,60.25092517768187
3453,196.58299,17.061575,0.053953999999999995,-148.30247002402575,-44.16294976405344,47.490191586375346
21629,185.334389,41.236123,0.038055,-85.4802020549396,-7.981508325076212,75.25342388558435
12706,144.58295,33.345453000000006,0.055075,-112.4836173435831,79.98833451394928,90.82181894229447
5560,170.138981,44.203912,0.044141,-93.52667311507554,16.257456505290822,92.32717613468085
25627,225.880138,40.681084999999996,0.058753999999999994,-93.05468961924426,-95.9584060139406,114.89604736077665
5859,155.210358,39.104238,0.047109,-99.5640141252613,45.983192825572196,89.13963202656277
1834,221.325543,8.740519,0.052699,-117.34727108334368,-103.18482382204033,24.02439408407112
10298,147.663863,19.767315,0.055372000000000005,-132.0848931429792,83.61725017916108,56.180618827878284
6296,152.917336,45.365283000000005,0.046638,-87.52269963206624,44.75421696968415,99.56286711694047
25424,129.70376399999998,26.826725,0.052761,-90.23172499122664,108.67011141124593,71.43214108491391
6188,154.386223,37.409104,0.044277,-95.14144606665725,45.61227509562179,80.69510618337812
9707,175.715899,-3.5950290000000003,0.058066999999999994,-173.37242542931065,12.987558073082875,-10.92308734087672
13579,251.18289500000003,41.051251,0.051409,-37.51431479606371,-110.08983280605466,101.2860919727717
18245,225.03475899999998,18.577105,0.045593,-91.62234256827377,-91.73357709981805,43.575130702886355
