,xVal,yVal,zVal
708,66.54,139.97,75.86
709,99.2,85.64,132.57
710,101.55,11.13,99.41
711,66.39,39.53,122.13
712,58.5,80.16,63.93
713,102.89,108.98,14.52
714,42.08,85.21,28.3
715,74.62,99.97,69.12
716,117.8,90.08,33.13
717,88.91,131.62,112.66
718,3.59,50.06,75.7
719,12.5,29.38,32.41
720,36.98,0.9,76.75
721,74.34,106.77,94.53
722,28.64,65.72,129.77
723,37.79,60.8,94.12
724,108.67,31.54,91.09
725,131.27,58.45,63.17
726,0.96,59.37,45.17
727,123.76,84.72,62.92
728,48.28,78.0,39.95
729,8.54,128.81,10.78
730,39.68,74.27,65.96
731,10.12,59.59,47.12
732,110.62,65.01,91.89
733,84.67,92.46,113.56
734,127.47,61.03,75.06
735,66.5,13.3,40.52
736,85.7,32.53,103.62
737,103.09,33.33,102.43
738,71.51,8.42,48.35
739,79.22,129.35,86.9
740,128.54,75.86,88.28
741,84.39,98.99,112.27
742,67.33,80.51,94.37
743,56.57,137.55,118.59
744,83.95,76.72,100.74
745,128.27,116.37,31.83
746,76.37,23.55,124.35
747,70.16,57.59,51.84
748,14.03,76.22,37.66
749,85.31,128.24,113.15
750,33.09,24.93,10.51
751,66.87,138.83,9.47
752,51.62,66.6,68.56
753,105.8,136.91,65.01
754,26.21,40.61,136.5
755,129.84,17.14,85.74
756,6.14,66.18,83.49
757,24.24,81.36,12.38
758,49.45,52.27,37.41
759,48.34,60.92,0.43
760,32.78,40.5,24.95
761,79.48,123.21,55.39
762,29.53,67.3,32.63
763,91.83,59.41,66.72
764,123.05,127.67,125.62
765,46.11,56.93,70.0
766,16.09,67.55,107.96
767,115.07,66.92,87.53
768,63.77,108.09,120.56
769,22.76,80.5,24.23
770,83.17,39.23,139.61
771,97.06,61.59,89.74
772,17.23,101.67,9.74
773,41.88,6.25,46.62
774,4.67,30.69,17.96
775,138.57,44.86,7.31
776,30.63,0.68,124.21
777,13.16,105.2,73.79
778,127.61,123.01,25.65
779,58.65,109.6,127.28
780,51.35,14.23,125.9
781,20.29,19.99,28.49
782,100.92,77.93,108.0
783,130.67,60.13,61.02
784,69.65,56.54,52.39
785,59.45,139.1,4.78
786,60.02,74.83,7.67
787,110.38,7.58,21.21
788,59.54,67.38,30.81
789,9.23,48.24,106.66
790,22.65,123.02,16.98
791,58.9,123.28,124.78
792,127.05,101.91,123.46
793,111.1,114.87,131.12
794,65.41,75.73,106.36
795,14.47,66.18,86.24
796,40.87,73.76,25.44
797,5.49,23.34,92.27
798,70.4,87.47,92.24
799,37.57,23.78,73.79
800,141.05,72.34,48.61
801,18.49,119.73,48.57
802,13.57,58.87,52.99
803,51.29,56.64,73.42
804,4.49,26.48,62.18
805,104.89,65.71,70.91
806,79.78,49.74,13.55
807,124.86,84.74,108.64
808,41.7,119.08,61.16
809,6.98,27.84,100.76
810,52.73,127.93,102.36
811,57.93,50.05,105.43
812,96.2,58.28,76.96
813,95.34,108.15,22.18
814,119.73,15.47,23.64
815,75.12,66.75,51.5
816,68.6,2.25,27.67
817,115.8,141.02,55.03
818,50.0,87.75,74.77
819,114.87,111.34,6.09
820,91.05,98.85,124.63
821,43.0,78.37,104.11
822,93.53,59.56,138.74
823,66.29,37.27,123.55
824,46.19,41.26,24.98
825,136.75,81.85,108.14
826,59.17,137.04,36.92
827,79.53,129.07,78.46
828,54.99,19.16,35.47
829,116.93,133.08,55.19
830,34.08,75.89,2.28
831,121.85,105.45,24.7
832,23.95,54.1,113.36
833,9.05,47.73,103.16
834,70.64,117.12,25.35
835,62.52,11.95,129.5
836,65.02,123.29,29.11
837,7.56,91.09,127.34
838,76.6,72.6,39.47
839,26.82,91.59,5.16
840,93.43,35.89,33.97
841,72.36,68.88,10.35
842,49.09,106.51,0.85
843,49.5,131.71,61.17
844,73.3,65.14,47.34
845,70.61,108.17,104.79
846,128.22,18.85,104.19
847,70.99,82.86,10.7
848,30.86,70.7,79.71
849,25.97,84.71,10.97
850,125.39,64.02,54.72
851,55.45,18.07,95.06
852,90.27,41.34,100.48
853,0.64,88.76,54.17
854,14.07,79.6,49.48
855,95.37,127.77,111.81
856,87.25,71.96,102.62
857,29.34,13.43,80.78
858,51.38,124.26,3.11
859,140.37,20.26,31.64
860,27.42,87.03,6.02
861,14.89,51.36,115.12
862,122.51,84.16,92.56
863,61.13,104.24,15.13
864,138.74,61.59,86.76
865,55.8,91.11,55.01
866,41.38,108.02,21.87
867,95.52,34.94,105.91
868,76.12,54.11,108.94
869,84.81,64.26,26.79
870,80.7,140.32,67.56
871,7.13,117.27,95.04
872,112.71,62.33,77.58
873,45.26,111.58,60.05
874,108.29,8.03,48.74
875,19.1,53.7,102.1
876,110.21,121.87,109.76
877,57.73,81.4,64.45
878,57.77,131.28,128.48
879,26.64,122.96,134.02
880,74.23,113.52,104.63
881,7.54,79.9,39.78
882,38.64,36.34,31.48
883,72.6,130.5,56.51
884,58.12,49.55,16.36
885,55.22,115.16,13.89
886,49.07,84.57,119.6
887,4.14,53.68,86.65
888,58.38,42.59,88.8
889,102.21,41.68,31.87
890,64.01,96.78,18.75
891,119.04,83.93,85.73
892,74.49,99.67,69.04
893,46.87,64.47,81.52
894,117.53,123.07,82.77
895,19.9,79.19,8.57
896,106.19,15.24,136.07
897,32.12,51.32,58.58
898,25.49,42.93,12.96
899,73.97,71.21,140.16
900,71.43,72.14,9.66
901,47.62,3.74,33.78
902,2.32,82.0,66.71
903,101.32,22.55,21.84
904,40.95,75.65,101.31
905,140.43,78.02,132.94
906,45.91,79.99,113.69
907,116.69,44.71,25.64
908,97.37,21.3,55.93
909,27.48,2.11,77.66
910,98.09,114.37,23.56
911,110.41,81.44,22.12
912,85.38,133.39,70.75
913,79.19,15.88,137.37
914,110.46,140.28,35.35
915,124.74,71.84,28.91
916,68.54,133.57,34.73
917,47.53,113.52,101.42
918,97.92,22.6,6.26
919,0.26,79.85,7.41
920,88.52,104.41,70.31
921,28.75,98.72,32.7
922,122.65,9.09,73.29
923,96.49,114.38,52.1
924,107.43,78.59,82.73
925,64.45,120.18,108.87
926,85.84,3.21,30.85
927,6.69,31.17,17.15
928,22.28,73.09,91.0
929,135.11,78.99,96.96
930,71.16,42.47,118.03
931,54.24,14.1,109.98
932,42.55,114.32,75.45
933,66.72,40.12,120.65
934,39.65,141.19,76.85
935,113.06,129.38,3.99
936,120.74,127.74,21.62
937,40.3,59.58,41.39
938,30.61,22.15,74.89
939,126.59,126.72,36.49
940,4.08,65.78,81.9
941,70.37,54.84,11.48
942,95.64,114.71,76.97
943,19.25,78.05,22.99
944,67.16,72.08,56.18
945,4.74,54.42,34.47
946,67.04,59.01,0.04
947,9.03,23.77,12.83
948,69.52,46.76,55.51
949,67.39,129.72,112.83
950,78.61,124.47,106.74
951,110.75,39.69,101.81
952,107.43,67.63,47.1
953,43.01,82.46,66.86
954,107.43,24.14,106.85
955,67.46,35.33,70.95
956,4.73,76.27,54.72
957,57.35,124.9,19.8
958,84.27,41.13,98.65
959,135.46,99.06,80.78
960,22.1,58.74,122.48
961,102.08,49.79,96.88
962,52.74,81.77,139.19
963,52.03,76.41,19.21
964,111.75,131.45,70.51
965,78.67,63.19,50.09
966,125.83,112.55,140.56
967,60.55,120.84,122.19
968,35.95,73.11,87.92
969,6.6,57.63,52.56
970,109.01,124.37,126.69
971,25.87,26.72,15.81
