,index,Mass,Center of Mass,RMS Radius,Potential Issue
175,1084,182000000000.0,"(138.05298315384613, 69.557336615384614, 68.281141230769236)",0.139830178603,
176,1088,182000000000.0,"(2.7022433076923074, 52.862828769230774, 30.797018692307695)",0.0867017506149,
177,1105,294000000000.0,"(11.710839190476189, 74.670175857142866, 38.562393285714286)",0.157494785424,
178,1107,154000000000.0,"(140.43851672727271, 74.239110727272717, 60.412090272727283)",0.129126836509,
179,1121,224000000000.0,"(6.2216656874999998, 44.394010312500008, 7.7681468750000002)",0.287799616068,
180,1140,1330000000000.0,"(4.01243017894737, 37.123931547368407, 18.464135978947368)",0.244053426274,
181,1141,1652000000000.0,"(65.641670872881349, 75.052169686440735, 60.728538483050855)",0.219974081234,
182,1144,504000000000.0,"(69.742413999999997, 67.476753805555575, 9.0795372777777814)",0.147786579612,
183,1146,602000000000.0,"(6.252249860465116, 67.045419558139542, 36.75218860465116)",0.183019749208,
184,1148,644000000000.0,"(69.940890586956556, 136.20852632608697, 31.54499115217391)",0.189019883126,
185,1159,168000000000.0,"(4.1084165000000006, 59.930035916666668, 32.054921499999999)",0.113661943544,
186,1184,182000000000.0,"(68.89992569230769, 19.833208769230769, 59.976124923076931)",0.167675797566,
187,1209,154000000000.0,"(133.90698254545455, 139.77588154545452, 24.858825636363637)",0.126941065133,
188,1239,994000000000.0,"(67.877302112676048, 44.987662535211271, 10.279841633802816)",0.30545820982,
189,1252,882000000000.0,"(4.0287778888888877, 29.760909666666667, 29.143842603174608)",0.207923170555,
190,1275,210000000000.0,"(4.0675481333333332, 47.902479800000002, 10.403452733333332)",0.185308398425,
191,1277,728000000000.0,"(7.8750064615384607, 58.355517211538462, 3.771019096153847)",0.18107579882,
192,1278,210000000000.0,"(72.26401886666666, 23.0291988, 18.905356866666668)",0.145396747822,
193,1284,210000000000.0,"(135.31192826666663, 12.044369066666665, 32.077046000000003)",0.207810348928,
194,1289,812000000000.0,"(6.7676469137931017, 73.899058827586202, 49.080485568965521)",0.20584141442,
195,1324,154000000000.0,"(1.0795862727272725, 52.036166363636362, 41.053125272727272)",0.111493223095,
196,1347,168000000000.0,"(2.7540453333333335, 75.769954749999997, 54.283920916666659)",0.0919737858314,
197,1390,672000000000.0,"(2.5865225624999995, 24.495584854166665, 33.607430208333327)",0.141241729926,
198,1412,588000000000.0,"(137.38561642857141, 59.046571380952365, 66.021190023809524)",0.190871786661,
199,1413,364000000000.0,"(0.54703503846153856, 40.234535884615383, 40.45819980769231)",0.185739370005,
200,1419,2198000000000.0,"(7.7327924394904439, 27.997434375796189, 66.926740031847118)",0.390165264198,
201,1434,700000000000.0,"(68.813808440000003, 50.40908360000001, 7.4987836599999991)",0.175495929755,
202,1458,322000000000.0,"(65.75880621739131, 13.970338130434781, 13.833207217391305)",0.160620126666,
203,1493,1316000000000.0,"(9.6458128085106409, 72.298629851063836, 37.078609787234051)",0.347879523503,
204,1546,434000000000.0,"(74.878176032258068, 54.045988999999999, 16.701496967741935)",0.140623750817,
205,1548,154000000000.0,"(137.98048827272726, 13.516490090909089, 23.112044272727275)",0.157062155783,
206,1552,1806000000000.0,"(8.5756306356589143, 74.051201193798462, 46.188817426356607)",0.254819157797,
207,1567,1246000000000.0,"(69.632025999999982, 43.892317134831458, 64.464780573033707)",0.221081759316,
208,1575,1750000000000.0,"(139.72842384799995, 46.708605055999982, 22.740474231999993)",0.282873445741,
209,1615,3626000000000.0,"(7.8772366756756753, 28.78088241698843, 17.20160717374516)",0.511897189134,
210,1616,336000000000.0,"(1.5671857500000002, 5.1251398333333338, 44.675518708333335)",0.154893412576,
211,1627,280000000000.0,"(3.9017463999999995, 21.401913450000002, 19.44934495)",0.122854743961,
212,1696,252000000000.0,"(2.0933731666666668, 20.371954833333334, 39.314849388888888)",0.191148403807,
213,1706,238000000000.0,"(5.4072488235294109, 46.769566000000005, 8.3019869411764731)",0.214339462403,
214,1758,854000000000.0,"(4.9486946721311478, 44.290607540983608, 43.306153327868856)",0.24223581872,
215,1771,854000000000.0,"(4.5379207377049164, 47.582614327868846, 8.3987543770491815)",0.278933623028,
216,1859,210000000000.0,"(5.5303852666666664, 60.391874466666664, 27.256328666666672)",0.0994011116812,
217,1874,224000000000.0,"(2.4831806250000001, 76.463130000000007, 57.690827249999998)",0.109177281718,
218,1887,602000000000.0,"(8.7877173255813954, 58.798351046511627, 4.1295780232558146)",0.237035798691,
219,1893,168000000000.0,"(1.3985434166666666, 59.215016333333324, 42.042808500000007)",0.0833891146436,
220,1901,182000000000.0,"(5.0501393846153855, 63.25706953846155, 139.68274515384613)",0.166341987948,
221,1974,630000000000.0,"(6.3316163111111097, 21.681426333333334, 64.738540733333323)",0.152350512775,
222,1986,196000000000.0,"(10.915956142857143, 75.263694642857146, 39.137624357142855)",0.24044692977,
223,2035,182000000000.0,"(69.886052692307686, 54.859805769230768, 43.636044846153851)",0.11660492834,
224,2091,168000000000.0,"(8.1597439166666668, 72.201429333333337, 141.20318208333336)",0.0831947067249,yes
225,2123,24878000000000.0,"(4.1712744563871773, 80.565180752954547, 4.1930820061902079)",0.627379984655,
226,2128,784000000000.0,"(2.9215966964285713, 138.54622512500001, 72.336024339285686)",0.196650455773,
227,2155,252000000000.0,"(1.848785388888889, 17.211425888888893, 40.260585944444443)",0.119693721146,
228,2239,238000000000.0,"(1.5163203529411764, 53.079336647058824, 42.484307588235296)",0.118161252294,
229,2347,868000000000.0,"(8.5052646612903207, 72.951852225806434, 3.5464323387096766)",0.203560828524,
230,2367,322000000000.0,"(6.9993968695652189, 18.570787260869565, 64.834327434782622)",0.164254299727,
231,2395,196000000000.0,"(140.27356385714285, 20.221671714285716, 31.537873071428578)",0.113984539692,
232,2407,350000000000.0,"(11.650855919999996, 75.498359359999981, 42.944430879999999)",0.283185359511,
233,2413,336000000000.0,"(3.2195123749999994, 47.971400250000009, 34.215693083333328)",0.193487012609,
234,2501,196000000000.0,"(6.4765296428571419, 65.914176428571437, 31.243405071428572)",0.106073761718,
235,2505,196000000000.0,"(137.23521742857142, 8.1832034999999994, 25.929595428571425)",0.14969464431,
236,2568,364000000000.0,"(3.873781769230769, 43.670885692307692, 6.6536868076923081)",0.136129883575,
237,2634,322000000000.0,"(141.22571065217392, 8.4065927391304367, 69.656748565217399)",0.178835646135,yes
238,2704,1988000000000.0,"(8.2633633661971828, 56.962033422535242, 5.9342244788732366)",0.230515487275,
239,2715,252000000000.0,"(1.186776111111111, 4.3766005555555569, 37.578362888888897)",0.178526269718,
240,2810,238000000000.0,"(4.4805803529411765, 36.213866647058822, 35.632208647058818)",0.0943220958074,
241,2906,294000000000.0,"(8.4790168095238094, 72.22437471428573, 2.0612170476190479)",0.129572806757,
242,2930,182000000000.0,"(5.3821681538461537, 5.435229923076923, 42.168863153846146)",0.228142251472,
243,2997,196000000000.0,"(135.38112100000001, 12.342642071428569, 28.994973857142863)",0.278404066981,
244,3080,3304000000000.0,"(13.044142813559324, 76.649206533898322, 41.321074105932219)",0.653942526011,
245,3139,196000000000.0,"(6.4461507142857144, 3.5775126428571427, 45.988789499999996)",0.143757336418,
246,3316,532000000000.0,"(5.2448952368421056, 4.9618277631578938, 42.265941263157899)",0.229714557926,
247,3322,322000000000.0,"(1.8981769130434782, 11.661683826086954, 20.370314739130436)",0.186598983803,
248,3359,182000000000.0,"(6.0500006153846151, 2.0091209230769231, 67.477284999999995)",0.130082451184,
249,3370,168000000000.0,"(135.40551508333334, 137.98995833333333, 23.53574875)",0.249251537961,
250,3405,294000000000.0,"(5.414031047619047, 34.331406666666666, 34.94222247619048)",0.135874904704,
251,3406,882000000000.0,"(0.77720330158730166, 5.430025317460319, 75.099800507936493)",0.191991687973,
252,3457,196000000000.0,"(136.00544842857144, 132.97475207142855, 20.559808357142856)",0.261034433946,
253,3512,2226000000000.0,"(2.4746105849056597, 129.16633589308179, 14.250300742138364)",0.252956911965,
254,3524,1204000000000.0,"(140.4431091395349, 130.24298379069771, 18.883752244186049)",0.232587653043,
255,3579,238000000000.0,"(8.7557528235294111, 73.94695999999999, 45.118860117647046)",0.17302604688,
256,3629,462000000000.0,"(4.5667961212121213, 1.4136172727272731, 76.484881303030278)",0.234824653546,
257,3669,182000000000.0,"(137.76775776923077, 75.115054769230767, 62.361368000000006)",0.1597325282,
258,3730,238000000000.0,"(4.9351205882352938, 12.695470117647057, 65.875828823529417)",0.190161042874,
259,3757,1554000000000.0,"(6.5351793333333319, 18.035327180180186, 63.818126360360381)",0.258189374462,
260,3804,462000000000.0,"(3.7014733636363637, 47.262901454545464, 8.2202411212121227)",0.398024814222,
261,3851,2268000000000.0,"(7.3449925432098748, 34.817126938271606, 26.561861308641991)",0.348528530731,
262,3870,266000000000.0,"(3.9290312631578943, 52.905595684210525, 18.998398894736841)",0.120378838498,
263,4008,280000000000.0,"(8.0585926000000008, 6.4511083999999999, 47.595279400000003)",0.172986776844,
264,4048,1414000000000.0,"(7.7245603960396094, 56.022012306930677, 6.794633237623759)",0.26716446036,
265,4091,434000000000.0,"(0.14613790322580647, 3.6514671935483878, 25.337986774193549)",0.13365015795,yes
266,4198,6692000000000.0,"(13.16610486192468, 73.316022332635995, 21.353672566945594)",0.380753660238,
267,4287,2786000000000.0,"(4.4444400050251245, 55.417128738693457, 61.531716135678408)",0.279741717477,
268,4393,1204000000000.0,"(6.7420750116279065, 35.135391988372092, 25.664063767441867)",0.217663247079,
269,4426,252000000000.0,"(0.20327155555555554, 9.534401666666664, 23.301120611111116)",0.203389117407,yes
270,4441,1890000000000.0,"(8.237105392592591, 5.4655543999999967, 43.724447703703689)",0.349933869612,
271,4472,252000000000.0,"(12.646699499999999, 74.871648611111127, 41.837885944444452)",0.0911215447568,
272,4577,518000000000.0,"(139.14868618918922, 131.8169225135135, 19.546617594594593)",0.24789972728,
273,4653,392000000000.0,"(6.1532932142857151, 41.07909003571428, 56.636304964285721)",0.155432049172,
274,4667,1554000000000.0,"(3.5091460360360349, 54.801734585585571, 61.961974468468462)",0.348077811461,
275,4704,308000000000.0,"(6.4914962272727275, 29.033503545454547, 44.77808081818182)",0.140477935594,
276,4763,350000000000.0,"(2.4353193599999998, 12.705425959999996, 19.963677119999996)",0.183964330838,
277,4861,658000000000.0,"(5.0580036808510647, 73.313584489361702, 44.690625744680851)",0.172001967612,
278,4875,434000000000.0,"(0.87997083870967752, 138.7218701612903, 25.726210096774189)",0.210133794005,
