,x,y,z,flag
478,37.93,14.04,75.58,454.0
479,120.66,121.04,19.32,455.0
480,96.75,107.32,67.99,456.0
481,54.68,9.86,123.22,194.0
482,87.72,60.47,10.46,230.0
483,2.2,85.32,3.49,457.0
484,102.5,35.93,46.3,458.0
485,61.27,28.53,13.08,459.0
486,61.42,41.61,13.39,460.0
487,77.48,51.97,62.34,461.0
488,80.92,52.69,127.49,462.0
489,82.14,2.56,58.97,463.0
490,104.84,52.3,129.43,186.0
491,80.82,36.34,45.08,464.0
492,74.09,55.38,117.01,465.0
493,17.45,106.36,49.65,466.0
494,94.05,130.75,76.06,467.0
495,2.93,9.15,40.83,468.0
496,71.04,105.64,5.96,469.0
497,22.56,35.71,1.18,470.0
498,124.64,51.6,87.03,471.0
499,73.12,114.64,45.53,472.0
500,93.36,31.88,9.15,473.0
501,53.43,52.38,10.51,474.0
502,127.04,4.93,42.5,475.0
503,71.86,92.08,103.09,476.0
504,81.01,95.3,104.8,477.0
505,17.76,64.51,104.15,94.0
506,83.78,48.28,122.44,478.0
507,75.06,95.33,12.84,479.0
508,76.21,69.72,42.09,480.0
509,135.55,133.52,21.27,481.0
510,67.49,140.14,48.41,482.0
511,110.46,110.48,39.37,483.0
512,78.44,47.81,68.89,484.0
513,64.59,0.69,50.8,485.0
514,26.53,45.17,140.83,486.0
515,125.93,130.4,89.17,487.0
516,37.65,99.71,111.56,488.0
517,48.74,85.32,37.36,489.0
518,20.67,80.49,28.66,490.0
519,85.27,37.44,79.44,491.0
520,29.06,23.04,140.07,492.0
521,13.28,76.31,38.97,126.0
522,72.92,128.88,47.9,493.0
523,75.62,89.53,54.86,494.0
524,126.86,135.03,77.42,495.0
525,1.29,123.71,73.72,496.0
526,49.84,61.85,0.75,497.0
527,47.62,89.93,109.52,498.0
528,45.03,58.62,106.92,499.0
529,9.91,131.36,19.88,500.0
530,135.18,79.11,106.61,501.0
531,35.33,109.0,68.3,502.0
532,49.74,74.25,21.81,391.0
533,46.39,79.43,72.73,503.0
534,78.98,98.6,13.88,504.0
535,22.66,7.14,45.55,505.0
536,15.42,6.47,62.7,506.0
537,44.18,82.15,82.75,507.0
538,47.73,12.02,98.62,508.0
539,53.76,25.11,118.29,509.0
540,16.01,90.01,134.72,510.0
541,89.68,117.34,20.24,511.0
542,128.69,138.65,79.6,196.0
543,99.94,64.16,21.09,512.0
544,85.73,128.02,88.87,513.0
545,39.2,36.25,31.06,514.0
546,109.48,15.79,124.07,515.0
547,60.05,2.01,113.48,516.0
548,3.31,5.45,41.44,517.0
549,91.45,135.76,25.03,518.0
550,7.33,52.73,79.7,519.0
551,69.72,123.86,65.37,520.0
552,101.53,135.82,126.8,521.0
553,48.3,19.67,109.92,522.0
554,101.51,129.82,135.83,523.0
555,52.89,80.63,106.29,524.0
556,107.37,78.64,82.6,525.0
557,9.67,4.64,74.54,526.0
558,109.61,81.51,95.59,527.0
559,14.3,80.07,36.78,528.0
560,57.34,112.94,128.8,529.0
561,49.16,133.52,54.22,530.0
562,138.43,17.36,1.41,531.0
563,9.9,122.22,106.17,532.0
564,30.11,83.4,54.82,533.0
565,121.63,56.77,36.97,534.0
566,110.96,118.43,113.05,535.0
567,73.35,83.05,83.21,536.0
568,101.31,38.1,67.52,537.0
569,59.83,40.1,117.24,57.0
570,135.95,127.93,106.84,538.0
571,74.25,101.32,5.78,539.0
572,107.51,118.68,16.24,540.0
573,74.27,2.68,61.8,541.0
574,121.93,140.95,67.01,542.0
575,134.91,126.36,20.43,543.0
576,127.57,104.72,20.85,544.0
577,82.4,50.54,65.02,545.0
578,116.9,2.46,54.59,546.0
579,72.66,68.94,10.43,341.0
580,28.28,68.22,33.04,547.0
581,47.32,74.24,95.57,548.0
582,29.84,131.91,63.81,549.0
583,62.51,120.69,117.76,550.0
584,53.95,74.2,90.03,551.0
585,70.92,52.43,58.75,552.0
586,17.39,130.96,110.6,553.0
587,29.08,6.06,28.29,554.0
588,94.99,8.39,80.35,555.0
589,43.94,136.68,21.36,556.0
590,112.63,34.94,130.76,557.0
591,53.62,12.9,106.38,558.0
592,62.66,107.16,126.19,210.0
593,55.31,15.34,12.59,559.0
594,55.0,102.78,101.91,560.0
595,87.6,59.81,11.11,230.0
596,33.78,92.72,33.58,561.0
597,14.63,92.38,14.13,562.0
598,99.71,59.61,35.7,563.0
599,122.61,56.92,60.38,564.0
600,73.74,63.1,48.69,565.0
601,62.77,107.5,125.38,210.0
602,106.87,30.31,88.11,566.0
603,47.92,67.39,0.4,567.0
604,114.64,45.72,30.05,568.0
605,105.18,69.28,87.48,569.0
606,53.03,127.68,136.73,570.0
607,87.66,12.03,97.61,571.0
608,31.27,69.86,79.95,572.0
609,55.41,50.37,71.11,573.0
610,101.36,41.43,35.72,574.0
611,121.3,78.7,123.27,575.0
612,26.0,67.44,116.42,20.0
613,112.73,27.74,36.32,576.0
614,18.28,127.07,23.47,577.0
615,33.63,70.8,97.11,106.0
616,75.56,65.22,10.41,578.0
617,43.72,127.24,80.88,579.0
618,135.67,18.62,99.35,580.0
619,29.0,136.32,59.83,171.0
620,131.62,79.46,61.43,581.0
621,102.49,60.78,68.56,582.0
622,100.55,137.24,69.06,583.0
623,29.78,16.37,101.97,73.0
624,74.63,78.77,34.66,584.0
625,52.82,76.64,92.72,585.0
626,23.03,37.7,44.93,586.0
627,50.88,53.07,91.59,587.0
628,38.16,83.84,87.17,588.0
629,115.31,53.27,4.83,589.0
630,118.5,126.33,8.22,590.0
631,115.61,55.73,71.34,591.0
632,115.24,119.93,125.96,592.0
633,29.6,133.67,60.39,593.0
634,89.23,136.89,26.57,594.0
635,52.37,122.42,15.41,595.0
636,21.44,89.39,136.87,596.0
637,92.56,14.13,50.65,597.0
638,124.83,7.95,93.31,598.0
639,61.03,89.85,21.22,599.0
640,97.58,130.93,60.03,600.0
641,68.46,110.57,93.55,601.0
642,127.55,137.02,79.98,196.0
643,84.84,79.14,29.43,602.0
644,112.79,0.77,60.56,603.0
645,40.66,59.79,65.78,604.0
646,58.49,35.34,116.32,605.0
647,68.69,63.51,11.9,606.0
648,134.68,55.96,73.55,607.0
649,84.26,47.9,50.78,608.0
650,43.04,131.4,76.89,609.0
651,9.38,40.93,5.97,610.0
652,111.39,84.91,4.42,611.0
653,120.77,122.18,18.07,612.0
654,34.43,99.89,121.89,613.0
655,109.24,61.22,111.58,614.0
656,114.64,67.59,86.6,615.0
657,89.18,65.24,3.23,616.0
658,29.66,102.21,86.14,617.0
659,132.67,99.72,7.66,618.0
660,6.03,8.63,120.34,619.0
661,46.25,31.3,34.69,620.0
662,109.34,61.8,108.13,621.0
663,14.1,76.83,38.46,126.0
664,105.73,93.3,86.85,622.0
665,138.37,92.17,139.57,623.0
666,26.46,138.64,57.53,624.0
667,8.15,51.39,80.96,625.0
668,129.38,119.32,140.62,626.0
669,81.42,111.3,112.07,627.0
670,129.76,45.59,131.81,628.0
671,71.51,72.24,9.94,629.0
672,10.34,87.73,55.44,630.0
673,123.99,129.41,23.93,631.0
674,120.69,97.27,81.68,82.0
675,132.44,112.03,39.56,279.0
676,32.29,87.93,25.93,632.0
677,123.86,52.49,122.1,633.0
678,25.01,109.06,12.02,634.0
679,32.79,88.16,130.94,635.0
680,23.64,7.6,101.5,636.0
681,97.05,92.31,123.88,637.0
682,48.26,81.52,72.86,142.0
683,27.35,141.23,81.62,638.0
684,54.75,131.7,99.11,639.0
685,132.89,130.06,100.6,640.0
686,72.05,78.61,115.9,641.0
687,103.52,22.65,16.19,642.0
688,131.55,107.57,78.91,643.0
689,73.98,83.83,99.45,644.0
690,95.47,67.85,18.3,645.0
691,90.89,26.27,26.47,646.0
692,56.55,107.02,10.04,647.0
693,46.96,19.82,133.12,648.0
694,106.17,60.13,102.09,649.0
695,22.55,38.67,123.05,650.0
696,70.13,133.68,76.14,651.0
697,25.73,60.03,46.63,652.0
698,46.85,80.99,93.57,653.0
699,51.93,57.41,129.78,654.0
700,89.63,53.42,65.66,655.0
701,13.37,84.47,54.52,656.0
702,57.52,71.36,9.05,657.0
703,22.86,55.9,57.21,658.0
704,90.33,96.88,37.83,659.0
705,81.6,28.29,102.66,660.0
706,78.58,58.19,17.22,661.0
707,106.28,52.28,130.15,662.0
708,66.54,139.97,75.86,663.0
709,99.2,85.64,132.57,664.0
710,101.55,11.13,99.41,665.0
711,66.39,39.53,122.13,666.0
712,58.5,80.16,63.93,667.0
713,102.89,108.98,14.52,668.0
714,42.08,85.21,28.3,669.0
715,74.62,99.97,69.12,298.0
716,117.8,90.08,33.13,670.0
717,88.91,131.62,112.66,671.0
718,3.59,50.06,75.7,672.0
719,12.5,29.38,32.41,673.0
720,36.98,0.9,76.75,69.0
721,74.34,106.77,94.53,674.0
722,28.64,65.72,129.77,675.0
723,37.79,60.8,94.12,676.0
724,108.67,31.54,91.09,677.0
725,131.27,58.45,63.17,678.0
726,0.96,59.37,45.17,679.0
727,123.76,84.72,62.92,120.0
728,48.28,78.0,39.95,680.0
729,8.54,128.81,10.78,681.0
730,39.68,74.27,65.96,682.0
731,10.12,59.59,47.12,683.0
732,110.62,65.01,91.89,226.0
733,84.67,92.46,113.56,684.0
734,127.47,61.03,75.06,685.0
735,66.5,13.3,40.52,686.0
736,85.7,32.53,103.62,687.0
737,103.09,33.33,102.43,688.0
738,71.51,8.42,48.35,689.0
739,79.22,129.35,86.9,690.0
740,128.54,75.86,88.28,691.0
741,84.39,98.99,112.27,692.0
742,67.33,80.51,94.37,693.0
743,56.57,137.55,118.59,694.0
744,83.95,76.72,100.74,695.0
745,128.27,116.37,31.83,696.0
746,76.37,23.55,124.35,697.0
747,70.16,57.59,51.84,162.0
748,14.03,76.22,37.66,126.0
749,85.31,128.24,113.15,698.0
750,33.09,24.93,10.51,699.0
751,66.87,138.83,9.47,700.0
752,51.62,66.6,68.56,701.0
753,105.8,136.91,65.01,702.0
754,26.21,40.61,136.5,703.0
755,129.84,17.14,85.74,704.0
756,6.14,66.18,83.49,705.0
757,24.24,81.36,12.38,706.0
758,49.45,52.27,37.41,707.0
759,48.34,60.92,0.43,708.0
760,32.78,40.5,24.95,709.0
761,79.48,123.21,55.39,710.0
762,29.53,67.3,32.63,711.0
763,91.83,59.41,66.72,712.0
764,123.05,127.67,125.62,713.0
765,46.11,56.93,70.0,714.0
766,16.09,67.55,107.96,715.0
767,115.07,66.92,87.53,615.0
768,63.77,108.09,120.56,716.0
769,22.76,80.5,24.23,717.0
770,83.17,39.23,139.61,718.0
771,97.06,61.59,89.74,719.0
772,17.23,101.67,9.74,720.0
773,41.88,6.25,46.62,721.0
774,4.67,30.69,17.96,722.0
