,Mass,Center of Mass,RMS Radius,Potential Issue
16522,14000000000.0,"(122.62, 140.94, 44.340000000000003)",0.0,yes
16552,14000000000.0,"(22.02, 32.490000000000002, 140.56)",0.0,yes
16611,14000000000.0,"(111.77, 0.25, 64.530000000000001)",0.0,yes
16680,42000000000.0,"(120.69333333333334, 103.07333333333334, 141.08666666666667)",0.134660065845,yes
16687,42000000000.0,"(23.150000000000002, 140.40333333333334, 56.926666666666669)",0.215664348262,yes
16691,14000000000.0,"(140.91, 32.340000000000003, 128.41)",0.0,yes
16719,14000000000.0,"(0.22, 102.13, 4.9100000000000001)",0.0,yes
16738,14000000000.0,"(69.030000000000001, 0.050000000000000003, 138.16999999999999)",0.0,yes
16753,14000000000.0,"(140.65000000000001, 78.150000000000006, 128.78999999999999)",0.0,yes
16754,14000000000.0,"(49.130000000000003, 125.25, 0.02)",0.0,yes
16778,14000000000.0,"(61.549999999999997, 0.050000000000000003, 80.019999999999996)",0.0,yes
16811,14000000000.0,"(118.93000000000001, 48.490000000000002, 141.16999999999999)",0.0,yes
16838,14000000000.0,"(102.87, 140.99000000000001, 106.70999999999999)",0.0,yes
16983,14000000000.0,"(116.02, 23.969999999999999, 140.62)",0.0,yes
17001,14000000000.0,"(111.51000000000001, 0.41999999999999998, 112.45)",0.0,yes
17046,14000000000.0,"(41.450000000000003, 140.83000000000001, 110.53)",0.0,yes
17079,14000000000.0,"(16.870000000000001, 128.72, 141.0)",0.0,yes
17108,14000000000.0,"(0.56000000000000005, 136.90000000000001, 68.680000000000007)",0.0,yes
17176,14000000000.0,"(104.34, 140.97, 67.870000000000005)",0.0,yes
17226,42000000000.0,"(0.81000000000000005, 73.533333333333331, 47.939999999999998)",0.445894855568,yes
17230,14000000000.0,"(108.17, 61.640000000000001, 140.88)",0.0,yes
17250,14000000000.0,"(104.68000000000001, 134.72, 0.62)",0.0,yes
17313,14000000000.0,"(66.390000000000001, 22.699999999999999, 0.17000000000000001)",0.0,yes
17353,14000000000.0,"(115.13, 0.64000000000000001, 127.81)",0.0,yes
17356,28000000000.0,"(40.489999999999995, 141.17500000000001, 59.325000000000003)",0.317096199914,yes
17418,14000000000.0,"(68.260000000000005, 48.229999999999997, 0.17999999999999999)",0.0,yes
17535,14000000000.0,"(129.30000000000001, 111.17, 140.71000000000001)",0.0,yes
17536,14000000000.0,"(52.950000000000003, 112.67, 140.71000000000001)",0.0,yes
17545,42000000000.0,"(99.569999999999993, 0.8566666666666668, 88.450000000000003)",0.25824191931,yes
17577,14000000000.0,"(107.8, 141.16, 65.280000000000001)",0.0,yes
17580,14000000000.0,"(45.299999999999997, 104.23999999999999, 140.72)",0.0,yes
17602,14000000000.0,"(19.27, 29.829999999999998, 140.66)",0.0,yes
17630,28000000000.0,"(141.09999999999999, 68.72999999999999, 1.3300000000000001)",0.180554700853,yes
17631,14000000000.0,"(138.56, 141.22, 79.829999999999998)",0.0,yes
17637,14000000000.0,"(60.450000000000003, 140.61000000000001, 138.27000000000001)",0.0,yes
17644,14000000000.0,"(15.789999999999999, 140.83000000000001, 57.740000000000002)",0.0,yes
17681,14000000000.0,"(140.69, 137.69999999999999, 79.069999999999993)",0.0,yes
17696,14000000000.0,"(66.340000000000003, 59.799999999999997, 140.81999999999999)",0.0,yes
17710,28000000000.0,"(0.22000000000000003, 0.64000000000000001, 78.794999999999987)",0.128937969582,yes
17714,14000000000.0,"(141.27000000000001, 140.59999999999999, 81.379999999999995)",0.0,yes
17717,14000000000.0,"(108.03, 108.04000000000001, 141.19999999999999)",0.0,yes
17773,14000000000.0,"(0.48999999999999999, 99.290000000000006, 30.41)",0.0,yes
17785,14000000000.0,"(24.16, 54.859999999999999, 0.11)",0.0,yes
17836,14000000000.0,"(4.9900000000000002, 72.959999999999994, 0.71999999999999997)",0.0,yes
17892,14000000000.0,"(65.280000000000001, 141.28999999999999, 77.340000000000003)",0.0,yes
17905,14000000000.0,"(123.23, 0.28999999999999998, 21.449999999999999)",0.0,yes
17914,14000000000.0,"(141.11000000000001, 31.239999999999998, 34.479999999999997)",0.0,yes
17995,14000000000.0,"(58.140000000000001, 140.83000000000001, 103.38)",0.0,yes
18071,14000000000.0,"(140.36000000000001, 125.70999999999999, 0.34999999999999998)",0.0,yes
18105,14000000000.0,"(36.950000000000003, 66.390000000000001, 140.84999999999999)",0.0,yes
18139,14000000000.0,"(1.1599999999999999, 66.739999999999995, 0.52000000000000002)",0.0,yes
18200,14000000000.0,"(110.84, 15.970000000000001, 141.11000000000001)",0.0,yes
18231,14000000000.0,"(39.43, 141.13999999999999, 24.109999999999999)",0.0,yes
18233,14000000000.0,"(110.11, 141.19, 63.119999999999997)",0.0,yes
18343,14000000000.0,"(19.699999999999999, 122.48, 0.32000000000000001)",0.0,yes
18344,14000000000.0,"(88.260000000000005, 54.530000000000001, 140.88999999999999)",0.0,yes
18395,14000000000.0,"(23.870000000000001, 0.10000000000000001, 83.180000000000007)",0.0,yes
18415,14000000000.0,"(0.51000000000000001, 59.579999999999998, 125.89)",0.0,yes
18465,14000000000.0,"(30.420000000000002, 140.53999999999999, 56.880000000000003)",0.0,yes
18485,14000000000.0,"(0.38, 70.840000000000003, 78.790000000000006)",0.0,yes
18574,14000000000.0,"(17.23, 43.600000000000001, 0.029999999999999999)",0.0,yes
18591,14000000000.0,"(140.66999999999999, 124.41, 119.86)",0.0,yes
18597,14000000000.0,"(140.99000000000001, 91.319999999999993, 33.670000000000002)",0.0,yes
18692,14000000000.0,"(0.41999999999999998, 95.980000000000004, 71.719999999999999)",0.0,yes
18728,14000000000.0,"(49.32, 59.659999999999997, 0.47999999999999998)",0.0,yes
18765,28000000000.0,"(93.275000000000006, 0.030000000000000002, 11.74)",0.322684056005,yes
18773,14000000000.0,"(135.58000000000001, 43.07, 0.40000000000000002)",0.0,yes
18798,28000000000.0,"(6.8149999999999995, 48.295000000000002, 0.73499999999999999)",0.362042815148,yes
18831,14000000000.0,"(63.950000000000003, 22.030000000000001, 141.06)",0.0,yes
18974,14000000000.0,"(47.289999999999999, 140.97, 104.61)",0.0,yes
18983,56000000000.0,"(52.234999999999999, 108.83749999999999, 140.76749999999998)",0.186982619513,yes
19050,14000000000.0,"(4.2000000000000002, 42.600000000000001, 0.40000000000000002)",0.0,yes
19061,14000000000.0,"(8.3800000000000008, 69.390000000000001, 140.75999999999999)",0.0,yes
19067,28000000000.0,"(140.88, 57.43, 111.14)",0.222261107709,yes
19069,14000000000.0,"(110.72, 0.57999999999999996, 40.219999999999999)",0.0,yes
19132,28000000000.0,"(42.870000000000005, 0.44499999999999995, 57.995000000000005)",0.071763500472,yes
19134,42000000000.0,"(61.853333333333332, 38.589999999999996, 140.52333333333331)",0.26579022639,yes
19147,14000000000.0,"(35.009999999999998, 140.97999999999999, 47.899999999999999)",0.0,yes
19189,14000000000.0,"(134.11000000000001, 0.059999999999999998, 79.209999999999994)",0.0,yes
19194,14000000000.0,"(140.44, 0.01, 82.510000000000005)",0.0,yes
19243,14000000000.0,"(56.640000000000001, 70.200000000000003, 140.59)",0.0,yes
19282,14000000000.0,"(141.28, 73.150000000000006, 52.399999999999999)",0.0,yes
19374,14000000000.0,"(18.190000000000001, 66.700000000000003, 0.39000000000000001)",0.0,yes
19377,14000000000.0,"(92.840000000000003, 101.59999999999999, 140.61000000000001)",0.0,yes
19464,14000000000.0,"(113.47, 103.0, 141.22)",0.0,yes
19494,42000000000.0,"(118.81, 0.13999999999999999, 64.343333333333334)",0.331494930412,yes
19510,14000000000.0,"(80.549999999999997, 0.37, 56.899999999999999)",0.0,yes
19516,14000000000.0,"(140.91999999999999, 24.649999999999999, 103.05)",0.0,yes
19553,28000000000.0,"(79.224999999999994, 75.069999999999993, 0.28000000000000003)",0.237960080686,yes
19567,14000000000.0,"(22.82, 120.34, 0.050000000000000003)",0.0,yes
19584,14000000000.0,"(83.010000000000005, 38.390000000000001, 0.02)",0.0,yes
19591,14000000000.0,"(73.969999999999999, 85.569999999999993, 0.35999999999999999)",0.0,yes
19632,14000000000.0,"(45.990000000000002, 140.88, 97.239999999999995)",0.0,yes
19636,56000000000.0,"(32.93, 59.045000000000002, 141.035)",0.356721179635,yes
19663,28000000000.0,"(119.69, 12.425000000000001, 0.13)",0.36142080737,yes
19664,14000000000.0,"(45.890000000000001, 0.29999999999999999, 82.829999999999998)",0.0,yes
19668,14000000000.0,"(55.600000000000001, 0.76000000000000001, 114.51000000000001)",0.0,yes
19672,14000000000.0,"(84.310000000000002, 0.45000000000000001, 101.19)",0.0,yes
19704,28000000000.0,"(0.27500000000000002, 51.5, 96.620000000000005)",0.339889687987,yes
19760,14000000000.0,"(98.459999999999994, 53.829999999999998, 0.63)",0.0,yes
19764,14000000000.0,"(140.66999999999999, 28.620000000000001, 39.369999999999997)",0.0,yes
19774,14000000000.0,"(140.71000000000001, 97.890000000000001, 17.629999999999999)",0.0,yes
19790,14000000000.0,"(118.59, 58.359999999999999, 141.19999999999999)",0.0,yes
19798,14000000000.0,"(0.34999999999999998, 56.880000000000003, 87.349999999999994)",0.0,yes
19850,14000000000.0,"(15.109999999999999, 102.33, 0.34999999999999998)",0.0,yes
19864,14000000000.0,"(94.040000000000006, 0.01, 10.85)",0.0,yes
19898,14000000000.0,"(0.37, 78.739999999999995, 85.739999999999995)",0.0,yes
19935,14000000000.0,"(0.64000000000000001, 71.359999999999999, 121.01000000000001)",0.0,yes
19948,14000000000.0,"(0.72999999999999998, 123.72, 24.399999999999999)",0.0,yes
19962,28000000000.0,"(112.31999999999999, 0.085000000000000006, 10.23)",0.108282039139,yes
19972,14000000000.0,"(119.47, 140.97999999999999, 111.79000000000001)",0.0,yes
19978,14000000000.0,"(140.69999999999999, 9.6699999999999999, 69.099999999999994)",0.0,yes
20052,14000000000.0,"(0.76000000000000001, 112.45, 83.459999999999994)",0.0,yes
20059,28000000000.0,"(0.59000000000000008, 5.2650000000000006, 87.094999999999999)",0.329165611813,yes
20060,56000000000.0,"(35.369999999999997, 64.580000000000013, 140.875)",0.335074618555,yes
20157,14000000000.0,"(141.28999999999999, 54.859999999999999, 55.060000000000002)",0.0,yes
20162,28000000000.0,"(30.835000000000001, 140.94999999999999, 42.469999999999999)",0.208146582965,yes
20213,14000000000.0,"(8.1400000000000006, 26.41, 0.64000000000000001)",0.0,yes
20225,14000000000.0,"(125.31, 0.20000000000000001, 71.239999999999995)",0.0,yes
20328,14000000000.0,"(33.229999999999997, 141.28, 81.730000000000004)",0.0,yes
20359,28000000000.0,"(0.88, 84.230000000000004, 49.219999999999999)",0.238537208838,yes
20385,14000000000.0,"(141.21000000000001, 52.079999999999998, 97.390000000000001)",0.0,yes
20395,42000000000.0,"(54.573333333333331, 131.74666666666667, 0.96333333333333326)",0.383318840306,yes
20401,14000000000.0,"(95.730000000000004, 141.16, 23.890000000000001)",0.0,yes
20410,14000000000.0,"(140.53, 141.09, 109.56999999999999)",0.0,yes
20412,42000000000.0,"(0.20666666666666667, 125.41333333333334, 73.709999999999994)",0.282921268986,yes
20427,14000000000.0,"(141.13999999999999, 87.859999999999999, 4.0300000000000002)",0.0,yes
20430,14000000000.0,"(85.209999999999994, 141.24000000000001, 29.859999999999999)",0.0,yes
20463,14000000000.0,"(52.0, 83.439999999999998, 0.46999999999999997)",0.0,yes
20519,28000000000.0,"(140.56, 102.56, 118.455)",0.16255768207,yes
20540,14000000000.0,"(103.38, 51.710000000000001, 0.20000000000000001)",0.0,yes
20592,14000000000.0,"(141.30000000000001, 55.380000000000003, 125.43000000000001)",0.0,yes
20603,14000000000.0,"(0.68999999999999995, 107.01000000000001, 127.09999999999999)",0.0,yes
20611,14000000000.0,"(54.729999999999997, 105.25, 140.91999999999999)",0.0,yes
20613,14000000000.0,"(138.02000000000001, 141.02000000000001, 35.490000000000002)",0.0,yes
20644,28000000000.0,"(0.29999999999999999, 73.510000000000005, 44.114999999999995)",0.278971324691,yes
20658,14000000000.0,"(58.159999999999997, 141.09, 137.50999999999999)",0.0,yes
20669,14000000000.0,"(7.0899999999999999, 73.769999999999996, 0.46999999999999997)",0.0,yes
20691,14000000000.0,"(141.25, 7.3200000000000003, 91.040000000000006)",0.0,yes
20738,14000000000.0,"(66.510000000000005, 0.35999999999999999, 33.18)",0.0,yes
20783,14000000000.0,"(140.56999999999999, 54.579999999999998, 95.599999999999994)",0.0,yes
20800,14000000000.0,"(141.22, 115.23999999999999, 5.4000000000000004)",0.0,yes
20811,14000000000.0,"(141.15000000000001, 104.89, 138.21000000000001)",0.0,yes
20842,14000000000.0,"(63.200000000000003, 140.66999999999999, 52.630000000000003)",0.0,yes
20873,14000000000.0,"(140.87, 70.400000000000006, 42.219999999999999)",0.0,yes
20889,14000000000.0,"(62.140000000000001, 140.53999999999999, 13.81)",0.0,yes
20891,28000000000.0,"(74.174999999999997, 129.85500000000002, 0.745)",0.179652442232,yes
20935,14000000000.0,"(0.27000000000000002, 85.379999999999995, 64.129999999999995)",0.0,yes
20979,14000000000.0,"(47.07, 45.210000000000001, 0.33000000000000002)",0.0,yes
20998,14000000000.0,"(0.28000000000000003, 3.3500000000000001, 53.719999999999999)",0.0,yes
21013,14000000000.0,"(102.20999999999999, 52.460000000000001, 0.12)",0.0,yes
21076,14000000000.0,"(60.780000000000001, 0.070000000000000007, 122.7)",0.0,yes
21129,14000000000.0,"(125.56999999999999, 0.19, 79.530000000000001)",0.0,yes
21152,14000000000.0,"(0.22, 104.47, 28.379999999999999)",0.0,yes
21176,14000000000.0,"(140.81, 98.709999999999994, 92.930000000000007)",0.0,yes
21233,14000000000.0,"(0.5, 81.129999999999995, 63.0)",0.0,yes
21237,14000000000.0,"(140.62, 136.78, 84.549999999999997)",0.0,yes
21248,14000000000.0,"(28.960000000000001, 0.60999999999999999, 88.189999999999998)",0.0,yes
21294,14000000000.0,"(136.75999999999999, 0.23000000000000001, 52.740000000000002)",0.0,yes
21302,14000000000.0,"(18.129999999999999, 52.670000000000002, 0.0)",0.0,yes
21315,14000000000.0,"(108.33, 140.62, 14.1)",0.0,yes
21329,28000000000.0,"(58.365000000000002, 0.85000000000000009, 3.915)",0.335931540645,yes
21336,14000000000.0,"(0.70999999999999996, 25.329999999999998, 59.439999999999998)",0.0,yes
21348,14000000000.0,"(113.95999999999999, 100.28, 0.73999999999999999)",0.0,yes
21350,28000000000.0,"(103.705, 141.19499999999999, 41.085000000000001)",0.0433012701892,yes
21390,14000000000.0,"(107.04000000000001, 140.87, 36.859999999999999)",0.0,yes
21407,14000000000.0,"(62.960000000000001, 114.93000000000001, 0.55000000000000004)",0.0,yes
21412,14000000000.0,"(0.029999999999999999, 57.619999999999997, 114.97)",0.0,yes
21427,14000000000.0,"(140.88, 128.96000000000001, 42.810000000000002)",0.0,yes
21471,14000000000.0,"(140.59, 126.0, 103.37)",0.0,yes
21560,14000000000.0,"(8.2100000000000009, 33.299999999999997, 141.03999999999999)",0.0,yes
21607,14000000000.0,"(140.62, 53.200000000000003, 124.62)",0.0,yes
21613,28000000000.0,"(50.984999999999999, 123.7, 140.63499999999999)",0.17734147851,yes
21625,14000000000.0,"(116.15000000000001, 102.28, 141.03999999999999)",0.0,yes
21658,14000000000.0,"(19.039999999999999, 76.180000000000007, 0.60999999999999999)",0.0,yes
21682,28000000000.0,"(38.0, 65.355000000000004, 0.22)",0.237118114028,yes
21687,14000000000.0,"(0.040000000000000001, 8.0800000000000001, 139.47)",0.0,yes
21702,14000000000.0,"(83.640000000000001, 125.08, 0.55000000000000004)",0.0,yes
21727,14000000000.0,"(31.57, 141.25, 41.57)",0.0,yes
21751,14000000000.0,"(124.73, 33.219999999999999, 140.59)",0.0,yes
21754,14000000000.0,"(140.53999999999999, 15.539999999999999, 18.829999999999998)",0.0,yes
21798,14000000000.0,"(115.8, 0.23000000000000001, 57.990000000000002)",0.0,yes
21828,14000000000.0,"(10.16, 141.28999999999999, 29.780000000000001)",0.0,yes
21870,42000000000.0,"(8.9033333333333342, 0.38000000000000006, 49.93)",0.383521692853,yes
21876,14000000000.0,"(81.379999999999995, 141.19999999999999, 57.390000000000001)",0.0,yes
21878,14000000000.0,"(49.530000000000001, 58.780000000000001, 0.52000000000000002)",0.0,yes
21988,14000000000.0,"(0.55000000000000004, 53.850000000000001, 101.23999999999999)",0.0,yes
22038,14000000000.0,"(28.84, 104.91, 0.59999999999999998)",0.0,yes
22084,14000000000.0,"(0.38, 54.780000000000001, 20.989999999999998)",0.0,yes
22116,14000000000.0,"(116.14, 99.700000000000003, 140.55000000000001)",0.0,yes
22131,14000000000.0,"(141.09, 83.859999999999999, 112.83)",0.0,yes
22137,14000000000.0,"(141.09999999999999, 133.15000000000001, 67.189999999999998)",0.0,yes
22164,14000000000.0,"(121.17, 0.72999999999999998, 88.430000000000007)",0.0,yes
22188,14000000000.0,"(88.129999999999995, 0.47999999999999998, 118.5)",0.0,yes
22226,14000000000.0,"(141.25, 108.72, 15.06)",0.0,yes
22289,14000000000.0,"(133.66, 35.979999999999997, 141.22)",0.0,yes
22292,14000000000.0,"(0.52000000000000002, 3.54, 71.989999999999995)",0.0,yes
22296,14000000000.0,"(88.349999999999994, 140.61000000000001, 75.730000000000004)",0.0,yes
22345,14000000000.0,"(42.909999999999997, 64.459999999999994, 0.41999999999999998)",0.0,yes
22346,14000000000.0,"(126.70999999999999, 0.5, 107.05)",0.0,yes
22372,14000000000.0,"(3.4900000000000002, 0.23000000000000001, 82.959999999999994)",0.0,yes
22460,14000000000.0,"(137.12, 0.70999999999999996, 96.75)",0.0,yes
22546,14000000000.0,"(0.080000000000000002, 72.700000000000003, 40.829999999999998)",0.0,yes
22564,14000000000.0,"(72.099999999999994, 140.69, 42.469999999999999)",0.0,yes
22606,14000000000.0,"(31.629999999999999, 0.55000000000000004, 140.87)",0.0,yes
22614,14000000000.0,"(20.68, 99.409999999999997, 0.33000000000000002)",0.0,yes
22638,14000000000.0,"(140.80000000000001, 32.719999999999999, 53.140000000000001)",0.0,yes
22639,14000000000.0,"(57.380000000000003, 127.67, 140.86000000000001)",0.0,yes
22652,14000000000.0,"(51.490000000000002, 141.00999999999999, 24.57)",0.0,yes
22672,14000000000.0,"(137.75, 69.230000000000004, 140.84)",0.0,yes
22674,14000000000.0,"(0.35999999999999999, 106.34, 135.03999999999999)",0.0,yes
22717,14000000000.0,"(57.109999999999999, 137.13, 140.97999999999999)",0.0,yes
22771,14000000000.0,"(60.090000000000003, 141.03, 10.289999999999999)",0.0,yes
22810,14000000000.0,"(134.81, 141.27000000000001, 94.379999999999995)",0.0,yes
22812,14000000000.0,"(47.509999999999998, 138.62, 140.59999999999999)",0.0,yes
22828,14000000000.0,"(43.020000000000003, 121.44, 141.03)",0.0,yes
22862,14000000000.0,"(140.97999999999999, 46.460000000000001, 23.449999999999999)",0.0,yes
22955,14000000000.0,"(55.549999999999997, 59.509999999999998, 0.22)",0.0,yes
22957,14000000000.0,"(40.149999999999999, 66.120000000000005, 0.46999999999999997)",0.0,yes
22959,14000000000.0,"(71.709999999999994, 101.63, 140.56)",0.0,yes
22968,14000000000.0,"(136.28, 140.68000000000001, 96.769999999999996)",0.0,yes
22994,14000000000.0,"(24.309999999999999, 90.650000000000006, 141.16)",0.0,yes
23077,28000000000.0,"(13.635000000000002, 140.58499999999998, 27.145)",0.236801604724,yes
23113,14000000000.0,"(87.310000000000002, 0.73999999999999999, 104.8)",0.0,yes
23120,14000000000.0,"(141.09, 95.489999999999995, 99.590000000000003)",0.0,yes
23170,28000000000.0,"(140.51499999999999, 17.815000000000001, 13.695)",0.15190457531,yes
23240,14000000000.0,"(120.66, 140.71000000000001, 20.129999999999999)",0.0,yes
23364,14000000000.0,"(0.70999999999999996, 75.760000000000005, 57.909999999999997)",0.0,yes
23368,14000000000.0,"(66.030000000000001, 140.80000000000001, 75.829999999999998)",0.0,yes
23379,14000000000.0,"(127.44, 9.1999999999999993, 141.06)",0.0,yes
23406,14000000000.0,"(4.8799999999999999, 141.22999999999999, 76.409999999999997)",0.0,yes
23407,14000000000.0,"(91.890000000000001, 8.6600000000000001, 140.61000000000001)",0.0,yes
23442,14000000000.0,"(0.23999999999999999, 48.990000000000002, 129.53999999999999)",0.0,yes
23465,14000000000.0,"(0.17999999999999999, 58.850000000000001, 103.84999999999999)",0.0,yes
23476,14000000000.0,"(0.14999999999999999, 25.91, 84.299999999999997)",0.0,yes
23518,14000000000.0,"(31.170000000000002, 140.87, 115.72)",0.0,yes
23572,14000000000.0,"(0.40000000000000002, 89.769999999999996, 48.670000000000002)",0.0,yes
23598,14000000000.0,"(0.16, 45.689999999999998, 117.87)",0.0,yes
23676,14000000000.0,"(113.79000000000001, 69.900000000000006, 0.46999999999999997)",0.0,yes
23699,14000000000.0,"(67.739999999999995, 56.890000000000001, 0.45000000000000001)",0.0,yes
23742,28000000000.0,"(42.965000000000003, 123.25, 0.69500000000000006)",0.133229125945,yes
23772,14000000000.0,"(16.969999999999999, 35.020000000000003, 0.56999999999999995)",0.0,yes
23777,14000000000.0,"(140.99000000000001, 53.719999999999999, 33.07)",0.0,yes
23789,14000000000.0,"(68.109999999999999, 140.72999999999999, 125.69)",0.0,yes
23822,28000000000.0,"(140.84999999999999, 111.255, 15.83)",0.373931811966,yes
23825,14000000000.0,"(45.439999999999998, 64.400000000000006, 141.27000000000001)",0.0,yes
23848,14000000000.0,"(126.56, 102.08, 0.14000000000000001)",0.0,yes
23870,14000000000.0,"(0.12, 86.030000000000001, 62.969999999999999)",0.0,yes
23885,14000000000.0,"(96.400000000000006, 140.91999999999999, 138.81999999999999)",0.0,yes
23888,14000000000.0,"(107.90000000000001, 0.20999999999999999, 65.439999999999998)",0.0,yes
23902,14000000000.0,"(95.569999999999993, 97.209999999999994, 0.12)",0.0,yes
23949,14000000000.0,"(139.63999999999999, 0.57999999999999996, 113.43000000000001)",0.0,yes
23970,14000000000.0,"(55.520000000000003, 140.90000000000001, 133.12)",0.0,yes
23996,14000000000.0,"(86.780000000000001, 0.02, 114.09999999999999)",0.0,yes
24071,14000000000.0,"(55.270000000000003, 16.809999999999999, 140.69999999999999)",0.0,yes
24128,14000000000.0,"(113.83, 0.76000000000000001, 62.600000000000001)",0.0,yes
24141,14000000000.0,"(141.16, 111.23999999999999, 115.59)",0.0,yes
24147,14000000000.0,"(0.56000000000000005, 52.899999999999999, 94.659999999999997)",0.0,yes
24254,14000000000.0,"(119.56, 0.76000000000000001, 65.140000000000001)",0.0,yes
24290,14000000000.0,"(134.13, 93.069999999999993, 140.75999999999999)",0.0,yes
24296,14000000000.0,"(0.56000000000000005, 6.4299999999999997, 41.789999999999999)",0.0,yes
24395,14000000000.0,"(114.70999999999999, 0.38, 11.710000000000001)",0.0,yes
24422,14000000000.0,"(118.78, 0.35999999999999999, 7.7400000000000002)",0.0,yes
24426,14000000000.0,"(59.57, 0.41999999999999998, 55.009999999999998)",0.0,yes
24443,14000000000.0,"(81.620000000000005, 0.070000000000000007, 34.219999999999999)",0.0,yes
24575,14000000000.0,"(0.17000000000000001, 139.30000000000001, 47.479999999999997)",0.0,yes
24577,14000000000.0,"(0.59999999999999998, 128.72999999999999, 32.32)",0.0,yes
24584,42000000000.0,"(96.886666666666656, 0.51666666666666672, 21.083333333333332)",0.314112506384,yes
24629,14000000000.0,"(141.13999999999999, 90.709999999999994, 81.239999999999995)",0.0,yes
24646,14000000000.0,"(0.62, 40.700000000000003, 75.260000000000005)",0.0,yes
24653,14000000000.0,"(46.020000000000003, 64.859999999999999, 0.17999999999999999)",0.0,yes
24696,14000000000.0,"(131.83000000000001, 43.009999999999998, 0.40000000000000002)",0.0,yes
24724,14000000000.0,"(134.34999999999999, 27.43, 140.59)",0.0,yes
24736,14000000000.0,"(131.38, 99.709999999999994, 0.12)",0.0,yes
24747,14000000000.0,"(0.12, 111.41, 16.870000000000001)",0.0,yes
24771,14000000000.0,"(16.98, 0.58999999999999997, 92.170000000000002)",0.0,yes
24819,14000000000.0,"(75.530000000000001, 0.42999999999999999, 67.609999999999999)",0.0,yes
24826,14000000000.0,"(83.599999999999994, 0.14999999999999999, 113.14)",0.0,yes
24922,14000000000.0,"(104.36, 141.09999999999999, 65.560000000000002)",0.0,yes
24930,14000000000.0,"(141.27000000000001, 45.090000000000003, 117.27)",0.0,yes
24934,14000000000.0,"(40.579999999999998, 0.23999999999999999, 61.18)",0.0,yes
24935,14000000000.0,"(0.60999999999999999, 49.460000000000001, 49.649999999999999)",0.0,yes
24957,14000000000.0,"(26.649999999999999, 141.22, 18.920000000000002)",0.0,yes
24985,14000000000.0,"(106.52, 0.52000000000000002, 130.41)",0.0,yes
24990,14000000000.0,"(61.060000000000002, 44.079999999999998, 0.10000000000000001)",0.0,yes
24992,14000000000.0,"(0.17999999999999999, 14.49, 60.43)",0.0,yes
24998,14000000000.0,"(68.459999999999994, 140.55000000000001, 34.310000000000002)",0.0,yes
25035,14000000000.0,"(112.90000000000001, 105.56999999999999, 0.76000000000000001)",0.0,yes
25055,14000000000.0,"(111.47, 0.62, 7.3899999999999997)",0.0,yes
25123,14000000000.0,"(53.890000000000001, 118.16, 140.69)",0.0,yes
25126,14000000000.0,"(100.98999999999999, 140.93000000000001, 100.73)",0.0,yes
25141,14000000000.0,"(140.87, 124.84, 73.900000000000006)",0.0,yes
25195,14000000000.0,"(81.079999999999998, 120.73, 0.19)",0.0,yes
25268,14000000000.0,"(111.40000000000001, 0.76000000000000001, 38.170000000000002)",0.0,yes
25346,14000000000.0,"(29.41, 0.39000000000000001, 27.170000000000002)",0.0,yes
25375,14000000000.0,"(85.459999999999994, 0.13, 26.609999999999999)",0.0,yes
25384,14000000000.0,"(140.56999999999999, 100.94, 104.54000000000001)",0.0,yes
25435,14000000000.0,"(47.259999999999998, 5.79, 0.53000000000000003)",0.0,yes
25445,14000000000.0,"(140.96000000000001, 0.81999999999999995, 79.810000000000002)",0.0,yes
25590,14000000000.0,"(73.760000000000005, 106.64, 140.78)",0.0,yes
25627,14000000000.0,"(140.91, 79.260000000000005, 86.219999999999999)",0.0,yes
25635,14000000000.0,"(122.37, 103.06, 0.68000000000000005)",0.0,yes
25636,14000000000.0,"(128.88999999999999, 0.56999999999999995, 72.549999999999997)",0.0,yes
25651,14000000000.0,"(0.57999999999999996, 125.09999999999999, 101.77)",0.0,yes
25731,14000000000.0,"(3.9199999999999999, 0.28999999999999998, 85.269999999999996)",0.0,yes
25740,14000000000.0,"(33.68, 69.099999999999994, 140.58000000000001)",0.0,yes
25742,14000000000.0,"(76.120000000000005, 0.56000000000000005, 3.7400000000000002)",0.0,yes
25860,28000000000.0,"(141.17000000000002, 54.745000000000005, 89.060000000000002)",0.130096118313,yes
25908,14000000000.0,"(124.87, 102.34, 0.73999999999999999)",0.0,yes
25950,14000000000.0,"(121.61, 82.900000000000006, 0.53000000000000003)",0.0,yes
25964,14000000000.0,"(140.74000000000001, 12.960000000000001, 39.990000000000002)",0.0,yes
25999,14000000000.0,"(39.93, 0.16, 20.48)",0.0,yes
26039,14000000000.0,"(39.560000000000002, 0.26000000000000001, 21.75)",0.0,yes
26056,14000000000.0,"(37.619999999999997, 85.879999999999995, 0.38)",0.0,yes
26066,14000000000.0,"(34.539999999999999, 64.909999999999997, 0.059999999999999998)",0.0,yes
26076,14000000000.0,"(121.53, 140.78, 45.560000000000002)",0.0,yes
26111,14000000000.0,"(120.31999999999999, 0.46000000000000002, 89.359999999999999)",0.0,yes
26200,14000000000.0,"(0.68000000000000005, 64.25, 28.300000000000001)",0.0,yes
26235,14000000000.0,"(77.909999999999997, 32.049999999999997, 140.90000000000001)",0.0,yes
26314,14000000000.0,"(140.91999999999999, 131.18000000000001, 42.25)",0.0,yes
26325,14000000000.0,"(79.909999999999997, 140.81999999999999, 66.950000000000003)",0.0,yes
